id,code,name,is_active,created_at,updated_at,category
20,25,สำนักคอมพิวเตอร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
25,63,สำนักศึกษาทั่วไป,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
26,64,สถาบันวิจัยวลัยรุกขเวช,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
27,65,สถาบันวิจัยศิลปะและวัฒนธรรมอีสาน,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
28,67,สำนักวิทยบริการ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
29,80,สำนักงานอธิการบดี,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
30,81,กองกลาง,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
31,82,กองแผนงาน,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
33,83,กองการเจ้าหน้าที่,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
34,84,กองกิจการนิสิต,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
35,85,กองคลังและพัสดุ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
36,86,กองบริการการศึกษา,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
38,87,กองทะเบียนและประมวลผล,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
39,88,กองอาคารสถานที่,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
41,89,กองส่งเสริมการวิจัยและบริการวิชาการ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
42,90,กองประชาสัมพันธ์และกิจการต่างประเทศ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
43,91,สำนักตรวจสอบภายใน,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
44,92,สภาคณาจารย์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
45,93,ศูนย์วิจัยและการศึกษาบรรพชีวินวิทยา,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
46,94,สำนักบริการวิชาการ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,
1,01,คณะมนุษยศาสตร์และสังคมศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
2,02,คณะวิทยาศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
3,03,คณะวิศวกรรมศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
4,04,คณะพยาบาลศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
5,05,คณะศึกษาศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
6,07,คณะเภสัชศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
7,08,คณะเทคโนโลยี,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
8,09,คณะการบัญชีและการจัดการ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
9,10,คณะการท่องเที่ยวและการโรงแรม,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
10,11,คณะสถาปัตยกรรมศาสตร์ ผังเมืองและนฤมิตศิลป์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
11,12,คณะวิทยาการสารสนเทศ,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
12,13,วิทยาลัยการเมืองการปกครอง,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
13,14,คณะสาธารณสุขศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
14,15,คณะแพทยศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
15,17,คณะสิ่งแวดล้อมและทรัพยากรศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
16,20,วิทยาลัยดุริยางคศิลป์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
17,22,คณะสัตวแพทยศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
18,23,คณะนิติศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
23,61,โรงเรียนสาธิตมหาวิทยาลัยมหาสารคาม (ฝ่ายมัธยม),t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
22,60,โรงเรียนสาธิตมหาวิทยาลัยมหาสารคาม (ฝ่ายประถม),t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
19,24,คณะศิลปกรรมศาสตร์และวัฒนธรรมศาสตร์,t,2026-05-06 10:13:29.424629+00,2026-05-06 10:13:29.424629+00,A
24,62,บัณฑิตวิทยาลัย,t,2026-05-06 10:13:29.424629+00,2026-07-10 05:43:07.887892+00,A
